Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF/16v,CP_Elec_6.3x7.7,111.252000,-63.754000,90.000000,top
C2,220uF/10v,CP_Elec_6.3x7.7,111.252000,-52.832000,90.000000,top
D1,1N4148,D_SOD-323F,112.776000,-101.854000,270.000000,top
D2,1N4148,D_SOD-323F,109.601000,-71.755000,180.000000,top
D3,1N4148,D_SOD-323F,109.601000,-74.295000,180.000000,top
D4,1N4148,D_SOD-323F,108.712000,-93.853000,90.000000,top
D5,1N4148,D_SOD-323F,112.776000,-97.917000,270.000000,top
D6,DZ5.1v,D_SOD-523,113.538000,-69.088000,90.000000,top
R1,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.062000,-104.140000,90.000000,top
R2,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.792000,-76.454000,90.000000,top
R3,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.284000,-58.166000,270.000000,top
R4,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.490000,-93.726000,270.000000,top
R5,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.363000,-97.790000,90.000000,top
R6,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.601000,-76.708000,180.000000,top
R7,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.474000,-79.121000,180.000000,top
R8,22k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.458000,-97.790000,270.000000,top
R9,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.363000,-101.727000,270.000000,top
R10,470R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.728000,-69.469000,180.000000,top
R11,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.062000,-58.420000,90.000000,top
R12,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.792000,-72.390000,90.000000,top
R13,220R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.062000,-99.314000,90.000000,top
U1,74hc138,SOIC-16_3.9x9.9mm_P1.27mm,111.252000,-86.106000,270.000000,top
